user_id,job_id,action_type
961,233,view
66,50,apply
437,38,view
564,88,apply
181,332,apply
253,429,save
519,351,apply
418,154,view
657,217,apply
505,301,view
815,188,save
563,354,view
469,231,view
297,7,save
120,116,apply
699,44,apply
95,432,view
814,222,apply
447,463,save
512,307,save
571,215,apply
998,10,apply
241,278,save
777,109,save
732,134,view
992,336,view
836,451,save
494,310,apply
262,61,apply
452,305,view
21,433,apply
657,475,save
43,188,view
76,432,view
609,73,view
804,391,view
120,82,view
735,191,apply
822,494,save
1000,227,save
943,466,save
879,387,apply
686,41,apply
169,206,save
280,105,save
128,66,view
959,210,view
369,370,view
88,292,save
217,357,view
438,295,apply
880,377,save
948,291,save
920,270,save
647,386,apply
497,228,apply
641,148,apply
217,410,apply
41,167,apply
842,83,apply
400,417,apply
65,454,save
779,136,apply
896,402,view
590,198,apply
116,291,view
729,142,view
664,30,save
873,461,view
993,204,view
166,367,view
832,40,save
594,402,save
495,229,save
74,275,apply
812,70,apply
746,122,apply
19,70,apply
698,151,apply
200,66,save
794,472,apply
372,342,view
585,167,view
914,265,save
581,98,apply
75,448,save
900,200,view
999,119,save
718,420,view
575,266,apply
450,100,view
230,469,view
448,291,save
755,47,apply
128,470,view
865,191,apply
282,193,apply
474,277,save
597,403,view
230,45,view
937,449,save
424,12,view
402,493,apply
997,205,save
275,29,view
496,312,apply
7,152,apply
96,286,apply
164,492,save
769,64,view
2,54,apply
74,481,apply
352,139,view
758,190,view
322,483,apply
145,183,apply
80,209,view
687,89,save
670,497,view
923,10,save
91,499,view
923,296,apply
49,471,view
357,46,apply
462,433,apply
485,288,save
975,67,view
420,117,save
625,144,save
423,365,view
417,247,save
512,439,view
811,491,save
328,175,apply
575,199,save
454,434,save
752,1,view
912,313,apply
393,103,view
938,239,save
972,163,save
982,207,view
240,472,view
215,179,save
401,471,view
151,85,apply
492,91,save
638,313,apply
821,406,apply
794,100,view
636,261,apply
246,11,save
108,67,view
220,394,view
680,117,apply
830,367,apply
143,278,save
863,290,apply
203,115,save
186,201,apply
986,139,apply
896,427,apply
393,336,save
297,334,view
227,295,save
912,323,view
593,164,save
683,5,view
581,373,apply
299,418,apply
864,17,apply
782,246,apply
521,96,view
936,30,save
357,411,save
894,257,apply
89,254,save
591,252,apply
613,438,view
241,344,view
187,412,apply
722,396,save
829,94,apply
120,351,apply
497,35,save
904,193,view
156,1,apply
124,446,view
66,18,view
712,250,save
852,228,apply
684,224,save
253,75,apply
162,411,save
690,32,view
606,129,view
273,455,view
454,113,apply
951,459,view
945,427,save
205,168,view
826,7,view
727,68,save
798,31,apply
21,462,save
159,248,save
750,90,apply
257,221,apply
807,352,view
673,344,save
319,110,view
975,434,apply
353,429,view
580,131,save
514,31,save
367,435,view
354,500,apply
501,202,save
983,210,apply
933,149,save
452,20,view
580,489,apply
