job_id,title,skills,location,salary_range
1,Software Engineer,"Machine Learning, Python, Java, C++, SQL",San Francisco,67k-109k
2,Analyst,"SQL, Java, Data Analysis",Toronto,88k-183k
3,Analyst,"Web Development, Java, C++, Cloud Computing, Machine Learning",Toronto,72k-113k
4,Software Engineer,"C++, Data Analysis, Machine Learning, Python, Excel",New York,95k-173k
5,Web Developer,"SQL, Web Development, Cloud Computing",San Francisco,72k-196k
6,Analyst,"Machine Learning, Data Analysis, Excel, Web Development",New York,52k-137k
7,Data Scientist,"Python, Web Development, Machine Learning",Toronto,93k-155k
8,Data Scientist,"Java, Python, Excel",Toronto,61k-163k
9,Web Developer,"Cloud Computing, C++",San Francisco,73k-193k
10,Data Scientist,"Machine Learning, Java, Data Analysis, Excel",San Francisco,98k-113k
11,Web Developer,"Excel, Java, Python",Austin,85k-114k
12,Analyst,"SQL, Python",London,77k-127k
13,Software Engineer,"Web Development, Excel",London,86k-109k
14,Analyst,"Data Analysis, SQL, Python, Java, Machine Learning",San Francisco,91k-156k
15,Data Scientist,"SQL, Web Development, C++, Python",New York,62k-152k
16,Web Developer,"Excel, Java",Toronto,61k-119k
17,Software Engineer,"Python, Machine Learning",London,52k-129k
18,Software Engineer,"SQL, Java, C++, Python",Toronto,58k-123k
19,Data Scientist,"Python, Excel, SQL",San Francisco,61k-179k
20,Analyst,"SQL, Web Development, Machine Learning",New York,66k-125k
21,Data Scientist,"C++, Data Analysis, Machine Learning, SQL",London,88k-154k
22,Web Developer,"Data Analysis, Java",San Francisco,77k-155k
23,Data Scientist,"Python, Machine Learning, Excel, C++, Java",San Francisco,69k-120k
24,Data Scientist,"Web Development, Java, C++, SQL, Data Analysis",New York,74k-133k
25,Data Scientist,"Java, Web Development, Excel, Cloud Computing",San Francisco,60k-181k
26,Data Scientist,"Data Analysis, C++, Cloud Computing, Excel, Java",Toronto,77k-177k
27,Software Engineer,"Data Analysis, Python, Excel",Austin,57k-137k
28,Analyst,"Java, Excel, Machine Learning, Data Analysis, C++",New York,82k-180k
29,Analyst,"Java, SQL",Toronto,79k-145k
30,Analyst,"Data Analysis, SQL",New York,81k-157k
31,Data Scientist,"Machine Learning, Java, Excel",Toronto,75k-115k
32,Data Scientist,"Python, Excel",San Francisco,81k-101k
33,Web Developer,"Java, Excel, Cloud Computing",Austin,62k-154k
34,Web Developer,"Web Development, Excel, Java",Austin,80k-195k
35,Web Developer,"Machine Learning, Web Development, Python",Austin,97k-200k
36,Software Engineer,"Excel, C++",Toronto,77k-194k
37,Data Scientist,"Web Development, Data Analysis, Machine Learning, Cloud Computing, Python",London,65k-115k
38,Data Scientist,"SQL, Java, C++, Excel",Austin,64k-192k
39,Software Engineer,"Machine Learning, Python, Data Analysis, Web Development, Excel",San Francisco,95k-172k
40,Software Engineer,"Excel, Data Analysis",Austin,88k-152k
41,Web Developer,"SQL, Java, Cloud Computing, Excel",London,93k-167k
42,Software Engineer,"Excel, C++, Web Development",Toronto,82k-192k
43,Software Engineer,"Machine Learning, Web Development, SQL, Data Analysis, Python",London,62k-169k
44,Web Developer,"Excel, C++, Data Analysis",San Francisco,98k-114k
45,Analyst,"Web Development, SQL, Java, C++",New York,73k-156k
46,Data Scientist,"Web Development, Excel",Austin,100k-197k
47,Software Engineer,"Java, Excel",London,90k-120k
48,Software Engineer,"Cloud Computing, Data Analysis, Excel, Java",New York,50k-158k
49,Analyst,"Java, SQL, Excel",Austin,88k-187k
50,Analyst,"Web Development, Cloud Computing, C++",New York,57k-175k
51,Software Engineer,"Web Development, C++, SQL, Python",Austin,75k-130k
52,Data Scientist,"Python, Machine Learning",Austin,83k-197k
53,Analyst,"Java, C++, Data Analysis, Machine Learning, Excel",Toronto,82k-102k
54,Analyst,"C++, Cloud Computing, Python, SQL, Data Analysis",San Francisco,92k-168k
55,Software Engineer,"Excel, Java",Austin,56k-104k
56,Data Scientist,"Web Development, Machine Learning",New York,72k-182k
57,Web Developer,"Excel, SQL, Machine Learning",San Francisco,88k-191k
58,Data Scientist,"C++, Data Analysis",Toronto,57k-183k
59,Software Engineer,"Machine Learning, C++, Data Analysis",New York,98k-140k
60,Data Scientist,"Python, Web Development, Excel",San Francisco,97k-188k
61,Software Engineer,"Web Development, Machine Learning, Data Analysis, Excel, Python",London,50k-199k
62,Analyst,"Web Development, Machine Learning, C++",Austin,75k-132k
63,Analyst,"Excel, Cloud Computing",London,92k-199k
64,Analyst,"C++, Python, Java, Excel, SQL",London,86k-113k
65,Software Engineer,"Data Analysis, Cloud Computing, C++, Java, Python",Austin,71k-103k
66,Analyst,"SQL, Excel, C++, Machine Learning",New York,68k-103k
67,Analyst,"Data Analysis, C++, Excel",Toronto,65k-173k
68,Web Developer,"Python, Machine Learning, Java, Data Analysis, Web Development",Austin,65k-139k
69,Data Scientist,"C++, Data Analysis, Web Development, Java, Excel",Austin,68k-105k
70,Analyst,"SQL, Cloud Computing, Machine Learning, Java, Python",Austin,64k-128k
71,Software Engineer,"Python, Machine Learning, Java, Excel",Austin,67k-114k
72,Software Engineer,"Cloud Computing, C++, Java",New York,90k-158k
73,Software Engineer,"Web Development, SQL, Cloud Computing",Toronto,59k-166k
74,Data Scientist,"Python, Data Analysis, Excel",San Francisco,95k-153k
75,Analyst,"Machine Learning, Web Development, Data Analysis, SQL, Cloud Computing",Austin,89k-193k
76,Software Engineer,"Cloud Computing, Data Analysis, Python, Web Development",London,81k-118k
77,Analyst,"Machine Learning, C++, Web Development, Java, Python",San Francisco,68k-169k
78,Data Scientist,"Excel, Web Development, Java, SQL",London,71k-106k
79,Web Developer,"C++, Web Development, SQL, Excel, Machine Learning",San Francisco,81k-153k
80,Software Engineer,"Machine Learning, SQL",New York,55k-197k
81,Web Developer,"Web Development, Machine Learning",Toronto,70k-166k
82,Analyst,"Excel, Python, Data Analysis, Web Development, Machine Learning",Austin,95k-195k
83,Data Scientist,"Machine Learning, Data Analysis, C++, SQL, Cloud Computing",New York,97k-189k
84,Analyst,"Web Development, C++, SQL",San Francisco,72k-130k
85,Web Developer,"Python, SQL, Machine Learning, Web Development",Austin,79k-170k
86,Analyst,"Cloud Computing, Web Development, Excel",London,85k-138k
87,Web Developer,"Excel, Cloud Computing",New York,59k-174k
88,Data Scientist,"Python, Cloud Computing, Excel",Austin,56k-198k
89,Web Developer,"C++, SQL",Toronto,90k-161k
90,Data Scientist,"Data Analysis, Excel, Python, Machine Learning",San Francisco,87k-151k
