user_id,name,skills
1,User_1,"Python, Data Analysis"
2,User_2,"Java, Machine Learning, SQL"
3,User_3,"Python, Data Analysis, Java"
4,User_4,"Web Development, Java, Data Analysis"
5,User_5,"Python, Machine Learning, Data Analysis"
6,User_6,"Java, Excel, Python"
7,User_7,"Cloud Computing, Web Development"
8,User_8,"Machine Learning, Data Analysis, Python, Java, Cloud Computing"
9,User_9,"C++, Web Development, Cloud Computing, Machine Learning, Excel"
10,User_10,"C++, Web Development, Java"
11,User_11,"Cloud Computing, Data Analysis"
12,User_12,"Data Analysis, Machine Learning, C++, Python, Excel"
13,User_13,"Python, Data Analysis, Machine Learning, Cloud Computing, SQL"
14,User_14,"Cloud Computing, Java, Machine Learning"
15,User_15,"Cloud Computing, C++"
16,User_16,"Data Analysis, Web Development, Java, SQL"
17,User_17,"C++, Python, Web Development, SQL"
18,User_18,"Cloud Computing, Java, C++, SQL, Machine Learning"
19,User_19,"Python, Data Analysis, Machine Learning, Excel"
20,User_20,"Web Development, Java, Excel"
21,User_21,"SQL, Excel, Machine Learning, Web Development"
22,User_22,"Web Development, Machine Learning, Excel"
23,User_23,"Excel, Cloud Computing, Java, Machine Learning"
24,User_24,"Python, Machine Learning, Java, Excel, Data Analysis"
25,User_25,"Cloud Computing, Java, Python"
26,User_26,"Cloud Computing, Excel"
27,User_27,"Cloud Computing, SQL"
28,User_28,"Web Development, C++, Java, SQL, Python"
29,User_29,"Data Analysis, Excel"
30,User_30,"Java, Cloud Computing, SQL, Excel, Machine Learning"
31,User_31,"Python, Excel, Data Analysis, SQL"
32,User_32,"C++, Machine Learning, Python, Data Analysis"
33,User_33,"Web Development, C++, Java, SQL"
34,User_34,"Cloud Computing, Web Development, Python, C++, Data Analysis"
35,User_35,"SQL, Data Analysis, Machine Learning, Web Development, Cloud Computing"
36,User_36,"Java, Machine Learning, C++, Data Analysis, Python"
37,User_37,"Web Development, C++, Data Analysis, Cloud Computing, Java"
38,User_38,"Cloud Computing, Machine Learning, Python, Java"
39,User_39,"Python, SQL, Web Development, Cloud Computing, Java"
40,User_40,"Machine Learning, Cloud Computing, Data Analysis, Web Development, Java"
41,User_41,"Web Development, Python, Java, SQL, Excel"
42,User_42,"SQL, Cloud Computing, Excel"
43,User_43,"Machine Learning, Web Development, Java, Python"
44,User_44,"Cloud Computing, Data Analysis, Machine Learning, Java"
45,User_45,"Web Development, Machine Learning, C++"
46,User_46,"Python, Web Development, C++"
47,User_47,"Web Development, Python, Data Analysis, SQL, Excel"
48,User_48,"Cloud Computing, C++, Data Analysis"
49,User_49,"Machine Learning, Java, Python, Excel, Data Analysis"
50,User_50,"Machine Learning, Java"
51,User_51,"Data Analysis, Excel, Cloud Computing, SQL"
52,User_52,"C++, Python, Data Analysis, SQL, Web Development"
53,User_53,"Python, Web Development, Java"
54,User_54,"Java, Python, Machine Learning, Excel, SQL"
55,User_55,"Java, Machine Learning, C++, Web Development"
56,User_56,"SQL, C++, Java, Excel"
57,User_57,"Web Development, C++, Cloud Computing, Excel, SQL"
58,User_58,"Java, C++, Machine Learning"
59,User_59,"Java, Cloud Computing, Python"
60,User_60,"Cloud Computing, Data Analysis, SQL, Python"
61,User_61,"Python, Data Analysis, Web Development, Cloud Computing"
62,User_62,"Machine Learning, C++, Java, Excel"
63,User_63,"C++, Machine Learning"
64,User_64,"Excel, C++, Java"
65,User_65,"Machine Learning, SQL"
66,User_66,"Web Development, Excel"
67,User_67,"Cloud Computing, Machine Learning, SQL"
68,User_68,"SQL, Web Development, Python"
69,User_69,"SQL, Machine Learning"
70,User_70,"SQL, Web Development"
71,User_71,"SQL, Python, Web Development, Excel"
72,User_72,"SQL, Cloud Computing"
73,User_73,"Data Analysis, Excel, Web Development, Cloud Computing"
74,User_74,"Excel, SQL, C++, Data Analysis, Python"
75,User_75,"Cloud Computing, Machine Learning, Python, Data Analysis, SQL"
76,User_76,"Web Development, Python"
77,User_77,"Web Development, C++"
78,User_78,"Python, SQL"
79,User_79,"Excel, Data Analysis, Web Development"
80,User_80,"Cloud Computing, Java"
81,User_81,"Cloud Computing, Python, C++, Machine Learning"
82,User_82,"C++, Web Development"
83,User_83,"Cloud Computing, C++, Python, Web Development"
84,User_84,"C++, Machine Learning"
85,User_85,"Python, Cloud Computing, Data Analysis"
86,User_86,"Java, Python, Web Development, Excel, Data Analysis"
87,User_87,"Data Analysis, Machine Learning, C++"
88,User_88,"Excel, Machine Learning, Python"
89,User_89,"Cloud Computing, Web Development, Machine Learning, Python, Data Analysis"
90,User_90,"C++, Python, SQL"
91,User_91,"Web Development, SQL, Machine Learning, Java, Cloud Computing"
